AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,lad16nm,text,easting,northing,long,lat
110227872016,2016-10-28,Oct,Fri,22,Car,Serious,Dark,Male,36-45,Tameside,At 22:30 on Friday 28 October 2016 a serious collision occured involving 2 vehicle(s) and  2 casualtie(s).,393147,400523,-2.104782068615732,53.50135653242719
110230082016,2016-11-14,Nov,Mon,14,Powered 2 Wheeler,Slight,Daylight,Male,16-20,Tameside,At 14:30 on Monday 14 November 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,392977,399083,-2.1073121536448323,53.488410960860435
110230562016,2016-11-02,Nov,Wed,18,Pedestrian,Slight,Dark,Female,21-25,Tameside,At 18:25 on Wednesday 02 November 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,392950,398186,-2.1076985976711056,53.48034798741201
110230742016,2016-11-10,Nov,Thurs,19,Car,Slight,Dark,Female,36-45,Tameside,At 19:17 on Thursday 10 November 2016 a slight collision occured involving 3 vehicle(s) and  1 casualtie(s).,396287,398448,-2.057419404790326,53.48273779921799
110230742016,2016-11-10,Nov,Thurs,19,Car,Slight,Dark,Female,26-35,Tameside,At 19:17 on Thursday 10 November 2016 a slight collision occured involving 3 vehicle(s) and  2 casualtie(s).,396287,398448,-2.057419404790326,53.48273779921799
110231252016,2016-11-06,Nov,Sun,12,Car,Slight,Daylight,Male,36-45,Tameside,At 12:40 on Sunday 06 November 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,392059,397954,-2.1211183392690183,53.478249793104446
110231252016,2016-11-06,Nov,Sun,12,Car,Slight,Daylight,Female,11-15,Tameside,At 12:40 on Sunday 06 November 2016 a slight collision occured involving 2 vehicle(s) and  3 casualtie(s).,392059,397954,-2.1211183392690183,53.478249793104446
110231252016,2016-11-06,Nov,Sun,12,Car,Slight,Daylight,Female,21-25,Tameside,At 12:40 on Sunday 06 November 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,392059,397954,-2.1211183392690183,53.478249793104446
110231472016,2016-11-08,Nov,Tues,17,Pedestrian,Serious,Dark,Female,21-25,Tameside,At 17:55 on Tuesday 08 November 2016 a serious collision occured involving 1 vehicle(s) and  1 casualtie(s).,394332,396021,-2.0868345909365957,53.4609050125308
110232392016,2016-11-02,Nov,Wed,8,Car,Serious,Dark,Female,16-20,Tameside,At 08:36 on Wednesday 02 November 2016 a serious collision occured involving 2 vehicle(s) and  1 casualtie(s).,397384,397370,-2.040879345537154,53.473055099409606
